subject_id,nom,groupe,matched_group_id,matched_group_libelle,match_type
435,ESF,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
436,"Schéma électrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
437,"Circuit électrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
438,PID,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
439,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
440,"Essaie et mesure","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
441,"Circuit électrique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
442,"Essaie et mesure","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
445,Production,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
446,Mathematics,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
447,H.biology,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
449,"Technologie professionnelle","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
450,"Dessin technique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
451,Traçage,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
452,RESEO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
455,"Mécanique Appliqué","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
457,RESEO,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
459,B.Maths,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
460,Accounting,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
462,PDC,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
464,"Science physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
465,"Comptabilité d'entreprise","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
466,"Mathematique Appliqué","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
468,MOB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
469,Informatique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
470,RPC,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
473,PCQ,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
476,Anglais,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
478,Mathematique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
480,OTA,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
482,Bureautique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
483,"Comptabilité financière","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
485,INFORMATIQUE,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
488,"Dessin de Mode","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
497,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
27,TM,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
31,"TRAVAIL MANUEL","Groupe 3",3,"Groupe 3 - Développement Personnel",like
32,EPS,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
60,EPS,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
61,"TRAVAIL MANUEL","Groupe 3",3,"Groupe 3 - Développement Personnel",like
74,EPS,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
75,"Travail Manuel","Groupe 3",3,"Groupe 3 - Développement Personnel",like
238,EPS,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
239,"Travail manuel","Groupe 3",3,"Groupe 3 - Développement Personnel",like
246,"Sante, securite, et envirronnement","Groupe 3",3,"Groupe 3 - Développement Personnel",like
260,EPS,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
261,"Travail Manuel","Groupe 3",3,"Groupe 3 - Développement Personnel",like
277,Entrepreneuriat,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
305,Hygiène,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
316,Hygiène,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
338,Entrepreuneurship,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
351,Citizenship,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
363,"CITIZENSHIP EDUCATION","Groupe 3",3,"Groupe 3 - Développement Personnel",like
376,"CITIZENSHIP EDUCATION","Groupe 3",3,"Groupe 3 - Développement Personnel",like
389,"CITIZENSHIP EDUCATION","Groupe 3",3,"Groupe 3 - Développement Personnel",like
406,"Travail manuel","Groupe 3",3,"Groupe 3 - Développement Personnel",like
419,"Travail manuel","Groupe 3",3,"Groupe 3 - Développement Personnel",like
444,Eps,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
448,Eps,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
461,HYGIÈNE,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
486,EPS,"Groupe 3",3,"Groupe 3 - Développement Personnel",like
487,"Travail manuel","Groupe 3",3,"Groupe 3 - Développement Personnel",like
